Date,Open,Close,High,Low,Volume
12-Aug-16,225.410004,225.610001,226.649994,224.039993,1813500
15-Aug-16,226.020004,225.589996,229.5,224.929993,2034300
16-Aug-16,225.490005,223.610001,227.190002,223.410004,2267100
17-Aug-16,224.330002,223.240005,224.830002,222.800003,1787100
18-Aug-16,223.820007,223.509995,225.660004,222.289993,1714500
19-Aug-16,223.539993,225,225.169998,222.529999,1659500
22-Aug-16,224.169998,222.929993,225.110001,222.679993,2065500
23-Aug-16,224.320007,224.839996,228.490005,222.800003,4784400
24-Aug-16,227.050003,222.619995,227.149994,222.220001,2570700
25-Aug-16,223.110001,220.960007,223.800003,220.770004,1762500
26-Aug-16,222.139999,219.990005,222.860001,218.820007,2239000
29-Aug-16,220.149994,215.199997,220.399994,215,3257100
30-Aug-16,216.110001,211.339996,216.110001,210.520004,3168900
31-Aug-16,210.429993,212.009995,212.600006,208.649994,3276500
1-Sep-16,209.009995,200.770004,211.100006,200.5,7943100
2-Sep-16,202.330002,197.779999,203.199997,196.199997,5977400
6-Sep-16,199.020004,202.830002,203.25,199,4390600
7-Sep-16,205.5,201.710007,206.5,200.710007,3640900
8-Sep-16,199.550003,197.360001,199.889999,196.360001,3370000
9-Sep-16,199.089996,194.470001,199.919998,193.699997,3757000
12-Sep-16,195,198.300003,201.369995,194.100006,3715200
13-Sep-16,197.059998,196.050003,198.490005,193.449997,3589400
14-Sep-16,195.75,196.410004,197.919998,194.860001,2254500
15-Sep-16,196.490005,200.419998,202.520004,196.399994,3077200
16-Sep-16,200.419998,205.399994,205.699997,199,3107800
19-Sep-16,207,206.339996,209.429993,205,2297000
20-Sep-16,206.850006,204.639999,207.75,203.910004,2410500
21-Sep-16,206.369995,205.220001,207,201.559998,2633500
22-Sep-16,206.399994,206.429993,207.279999,203,2382900
23-Sep-16,205.990005,207.449997,210.179993,205.669998,2905200
26-Sep-16,206.5,208.990005,211,206.5,2394400
27-Sep-16,209.649994,205.809998,209.979996,204.610001,3373200
28-Sep-16,207.509995,206.270004,208.25,205.259995,2088400
29-Sep-16,205.600006,200.699997,207.330002,200.580002,2727000
30-Sep-16,202.210007,204.029999,204.979996,199.550003,2586300
3-Oct-16,212.300003,213.699997,215.669998,208.25,5999900
4-Oct-16,213.100006,211.410004,213.320007,208.820007,3541500
5-Oct-16,212.240005,208.460007,213.149994,208.119995,1877500
6-Oct-16,202.460007,201,204.210007,200.210007,4703400
7-Oct-16,201,196.610001,201.320007,195.800003,3493000
10-Oct-16,201.350006,200.949997,204.139999,199.660004,3303100
11-Oct-16,201.850006,200.100006,202.199997,198.309998,2328400
12-Oct-16,200.949997,201.509995,203.880005,200.419998,1970700
13-Oct-16,200.5,200.240005,200.899994,197.050003,2494600
14-Oct-16,200.660004,196.509995,201.429993,196.300003,4269900
17-Oct-16,197.050003,193.960007,198.389999,192,4554100
18-Oct-16,195.990005,199.100006,199.470001,193.259995,5669000
19-Oct-16,199.740005,203.559998,206.660004,198.059998,6991200
20-Oct-16,202.119995,199.100006,203,197.050003,5072900
21-Oct-16,198.600006,200.089996,201.570007,197.410004,2943400
24-Oct-16,201,202.759995,203.949997,200.25,2751600
25-Oct-16,202.899994,202.339996,204.690002,201.199997,2445000
26-Oct-16,201,202.240005,203.190002,200.100006,5632800
27-Oct-16,211.339996,204.009995,213.699997,201.649994,13093700
28-Oct-16,204,199.970001,205.320007,199.830002,4280100
31-Oct-16,202.490005,197.729996,202.490005,195.809998,4692300
1-Nov-16,198.039993,190.789993,198.5,188.110001,7060000
2-Nov-16,190.050003,188.020004,192.699997,187.509995,4253400
3-Nov-16,189,187.419998,191.470001,187.039993,2653000
4-Nov-16,189,190.559998,193.460007,185.960007,5146000
7-Nov-16,193.589996,193.210007,194.289993,190.050003,3870100
8-Nov-16,193.789993,194.940002,197.490005,191.259995,3251400
9-Nov-16,186.880005,190.059998,192,183.949997,8173100
10-Nov-16,191.050003,185.350006,191.610001,180.419998,6750300
11-Nov-16,184.240005,188.559998,188.880005,183,3988500
14-Nov-16,188,181.449997,188.25,178.190002,6542200
15-Nov-16,182.779999,183.770004,186.429993,182.050003,3902000
16-Nov-16,182.649994,183.929993,184.729996,181.210007,3430400
17-Nov-16,183.490005,188.660004,189.490005,182.110001,4887100
18-Nov-16,190.649994,185.020004,193,185,5210300
21-Nov-16,185.039993,184.520004,188.889999,184.410004,4361000
22-Nov-16,185.839996,191.169998,191.470001,183.710007,5603400
23-Nov-16,190.610001,193.139999,195.639999,189,4885300
25-Nov-16,193.639999,196.649994,197.240005,193.639999,2366100
28-Nov-16,195.479996,196.119995,199.350006,194.550003,4529200
29-Nov-16,195.559998,189.570007,196.729996,189.5,4439300
30-Nov-16,191,189.399994,191.889999,187.5,3547100
1-Dec-16,188.25,181.880005,188.529999,181,5126400
2-Dec-16,182.880005,181.470001,184.880005,180,4042300
5-Dec-16,182.509995,186.800003,188.889999,182.509995,4072200
6-Dec-16,185.520004,185.850006,186.580002,182.679993,3391600
7-Dec-16,186.149994,193.149994,193.399994,185,5461900
8-Dec-16,192.050003,192.289993,192.5,189.539993,3194100
9-Dec-16,190.869995,192.179993,193.839996,190.809998,2722500
12-Dec-16,192.800003,192.429993,194.419998,191.179993,2438900
13-Dec-16,193.179993,198.149994,201.279999,193,6823900
14-Dec-16,198.740005,198.690002,203,196.759995,4150900
15-Dec-16,198.410004,197.580002,200.740005,197.389999,3219600
16-Dec-16,198.080002,202.490005,202.589996,197.600006,3779800
19-Dec-16,202.490005,202.729996,204.449997,199.839996,3488100
20-Dec-16,203.050003,208.789993,209,202.5,4689100
21-Dec-16,208.449997,207.699997,212.229996,207.410004,5207600
22-Dec-16,208.220001,208.449997,209.990005,206.5,3111100
23-Dec-16,208,213.339996,213.449997,207.710007,4662900
27-Dec-16,214.880005,219.529999,222.25,214.419998,5915700
28-Dec-16,221.529999,219.740005,223.800003,217.199997,3782500
29-Dec-16,218.559998,214.679993,219.199997,214.119995,4035900
30-Dec-16,216.300003,213.690002,217.5,211.679993,4642600
3-Jan-17,214.860001,216.990005,220.330002,210.960007,5923300
4-Jan-17,214.75,226.990005,228,214.309998,11213500
5-Jan-17,226.419998,226.75,227.479996,221.949997,5911700
6-Jan-17,226.929993,229.009995,230.309998,225.449997,5527900
9-Jan-17,228.970001,231.279999,231.919998,228,3957000
10-Jan-17,232,229.869995,232,226.889999,3660000
11-Jan-17,229.070007,229.729996,229.979996,226.679993,3650800
12-Jan-17,229.059998,229.589996,230.699997,225.580002,3790200
13-Jan-17,230,237.75,237.850006,229.589996,6093000
17-Jan-17,236.699997,235.580002,239.960007,234.369995,4611900
18-Jan-17,236.649994,238.360001,239.710007,235.580002,3769000
19-Jan-17,247.25,243.759995,248.679993,240.75,7732300
20-Jan-17,245.460007,244.729996,246,243.009995,4204300
23-Jan-17,245.850006,248.919998,250.889999,245.5,6262900
24-Jan-17,250,254.610001,254.800003,249.649994,4965500
25-Jan-17,257.309998,254.470001,258.459991,251.800003,5142600
26-Jan-17,254.289993,252.509995,255.740005,250.75,3152100
27-Jan-17,251.380005,252.949997,253,248.520004,3166300
30-Jan-17,252.529999,250.630005,255.289993,247.100006,3801100
31-Jan-17,249.240005,251.929993,255.889999,247.699997,4116100
1-Feb-17,253.050003,249.240005,253.199997,249.050003,3958800
2-Feb-17,248.339996,251.550003,252.419998,247.710007,2499800
3-Feb-17,251.910004,251.330002,252.179993,249.679993,2186700
6-Feb-17,251,257.769989,257.820007,250.630005,3562500
7-Feb-17,258.190002,257.480011,260,256.420013,4244800
8-Feb-17,257.350006,262.079987,263.359985,256.200012,3933000
9-Feb-17,266.25,269.200012,271.179993,266.149994,7820200
10-Feb-17,269.790009,269.230011,270.950012,266.109985,3619700
13-Feb-17,270.73999,280.600006,280.790009,270.51001,7029600
14-Feb-17,279.029999,280.980011,287.390015,278.609985,7329400
15-Feb-17,280,279.76001,282.23999,276.440002,4947900
16-Feb-17,277.600006,268.950012,280,268.5,7077300
17-Feb-17,265.799988,272.230011,272.890015,264.149994,6257100
21-Feb-17,275.450012,277.390015,281.399994,274.01001,5676700
22-Feb-17,280.309998,273.51001,283.450012,272.600006,8755000
23-Feb-17,264,255.990005,264.660004,255.559998,14915200
24-Feb-17,252.660004,257,258.25,250.199997,8171600
27-Feb-17,248.169998,246.229996,248.360001,242.009995,11460800
28-Feb-17,244.190002,249.990005,251,243.899994,6078100
